pcm,en
"Pulev wey be 38 years, come from Bulgaria and na him IBF, wey be boxing join-body say Joshua wey get di WBA, IBF and WBO titles must fight.","Pulev who is 38 years, is from Bulgaria and it is his IBF, that the boxing association said Joshua who has the WBA, IBF and WBO titles must fight."
Joshua win im belts back with points victory over Andy Ruiz Jr. for December.,Joshua won his belts back with points victory over Andy Ruiz Jr. in December.
"I dey very happy to get dis opportunity to show di world how strong I dey, na wetin Pulev tok.","I am very happy to get this opportunity to show the world how strong I am, that was what was said by Pulev."
Dis go be Joshua first fight for UK since im beat Alexander Povetkin for Wembley for September 2018.,This will be Joshua first fight in the UK since he won Alexander Povetkin at Wembley in September 2018.
"Im bin suppose fight Pulev for Cardiff Principality Stadium for October 2017 but di fight no happun Di Bulgarian withdraw after im get shoulder injury during training alias sparring, Carlos Takam gatzs step up to replace am with just 12 days' notice.","He was supposed to fight Pulev at Cardiff Principality Stadium in October 2017 but the fight did not take place. The Bulgarian withdraw after he got shoulder injury during training alias sparring, Carlos Takam had to step up to replace him with just 12 days notice."
"Last week, Joshua promoter Eddie Hearn tok say tok-tok dey go on for di all-British unification fight between Joshua and Tyson Fury.","Last week, Joshua promoter Eddie Hearn said comments are ongoing on the all-British unification fight between Joshua and Tyson Fury."
"Fury beat Deontay Wilder to collect di WBC title last month, e mean say na British heavyweights hold all di belts dem for di division.","Fury beats Deontay Wilder to win the WBC title last month, it means that British heavyweights hold all the belts in the division."
"But Wilder wey be American do use di rematch clause, wey mean say Fury vs Wilder part three go happun before Fury and Joshua go fight.","But Wilder wey be American do use di rematch clause, wey mean say Fury vs Wilder part three go happun before Fury and Joshua go fight."
"Pulev, na former European heavyweight champion.","Pulev, is a former European heavyweight champion."
Di Bulgaria don lose once for im 29 fights.,The Bulgaria has lose once in his 29 fights.
Wladimir Klitschko knockout for fifth round  for November 2015.,Wladimir Klitschko knockout in the fifth round in November 2015.
"For 2015, im beat Britain Hughie Fury on points for IBF final eliminator for Bulgaria for October 2018, im first fight since im pull out of im original meeting with Joshua.","In 2015, he beats Britain Hughie Fury on points for IBF final eliminator in Bulgaria in October 2018, his first fight since he pulled out of his original meeting with Joshua."
"Im last fight, im win with unanimous points victory, against American Rydell Booker, for November.","His last fight, he won with unanimous points victory, against American Rydell Booker, in November."
"Di family of di football star Kazeem Tiamiyu wey die for Sagamu - Ogun state South West Nigeria, don tok about wetin dem remember am for, and how di loss go forever affect dem.","The family of the football star Kazeem Tiamiyu who died in Sagamu - Ogun state South West Nigeria, has talked about what they remember him for, and how the loss will forever affect them."
"Tiamiyu na rising footballer with Remo Stars club wey im life cut short afta one unfortunate incident wey involve police, but for di family and friends wey im leave behind, di memory of dia love one still fresh for mind.","Tiamiyu is a rising footballer with Remo Stars club whose life was cut short after an unfortunate incident which involve the police, but for the family and friends that he left behind, the memory of their love one is still fresh in the mind."
"Tiamiyu Fasasi, wey bi Kazeem papa tell BBC Yoruba say e never reach like two weeks wen im pikin tell am say im get invitation to go play [football] trial for Sweden.","Tiamiyu Fasasi, who is Kazeem father told BBC Yoruba that it isnt up to two weeks when his child told him he has an invitation to play [football] trial in Sweden."
"E say na on Friday, 21 February Kazeem say im dey go meet with im manager - wey arrive for Sagamu - ontop di Sweden mata.","He said it was on Friday, 21 February Kazeem said he would meet with his manager - who arrived in Sagamu - because of the Sweden matter."
And say di plan na to sleep for im manager side and come back house di next dey.,And said the plan is to sleep at his manager side and come back home the next day.
"Na during im waka come back on Saturday morning, di Remo Stars player die from wetin im club say na police fault.","It was during his journey back on Saturday morning, the Remo Stars player died from what his club called a police fault."
"Although police never accept responsibility, dia oga patapata IGP Mohammed Adamu don order investigation into am.","Although police never accepted responsibility, their boss, the IGP Mohammed Adamu has order investigation into it."
Kazeem mama tell BBC how e don promise her better life as thank you for all di wahala she suffer ontop dem.,Kazeem mother told BBC how he had promised her better life as a thank you for all the troubles she suffered on them.
"E dey very caring, e never fight anybodi before, and na pikin wey like to give.","He is very caring, he never fight anybody before, and he is a child who likes to give."
"If na N1000 dey Kazeem account and pesin ask am for N900, e go give am, na im Selimotu Tiamiyu tok about her son.","If it is N1000 in Kazeem's account and someone asked him for N900, he would give the person, that was what Selimotu Tiamiyu said about her son."
"Selimotu recount how she wash clothes, clean floors and sell iced water, in oda to get money to raise Kazeem im younger ones, and she don hope say time don reach for her to begin enjoy Kazeem success.","Selimotu recounted how she washed clothes, clean floors and sell iced water, in other to get money to raise Kazeem and his younger ones, and she had hoped that time has come for her to begin enjoying Kazeem's success."
"Im coach Daniel Ogunmodede, say na Kazeem good behaviour make am promote Kazeem to assistant captain, even though na four months ago im join dem.","His coach Daniel Ogunmodede, said it was Kazeem's good behaviour that made him promote Kazeem to assistant captain, even though it is four months ago he joined them."
"Tori break ontop social media afta Remo Stars football club release statement say SARS Police harass dia player Kazeem wey lead to im death for Sagamu, on Saturday 22 February.","Story broke on social media after Remo Stars football club released statement that SARS Police harassed their player Kazeem which led to his death in Sagamu, on Saturday 22 February."
"Dem say SARS bin claim Kazeem na mago-mago pesin, even afta dia player show dem im ID card.","They said SARS claimed Kazeem is a suspective individual, even after their player showed them his ID card."
And na during dis gbege with SARS anoda car hit and kill Kazeem.,And it was during this issue with SARS that another car hit and kill Kazeem.
"Police earlier say Kazeem die as e dey cross expressway in order to dodge arrest by men of di Special Anti-Robbery Squad (SARS), according to tori by Channels TV.","The police earlier said Kazeem died as he was crossing the expressway in order to dodge being arrested by men of the Special Anti-Robbery Squad (SARS), according to the story by Channels TV."
Authorities don say now dem go look di mata and investigate.,Authorities said they would look into the matter and investigate.
"Dem kill my pikin wey no commit any crime, no sabi anything.","They killed my child who commited no crime, knows nothing."
"I want fair and true justice from di federal goment and even from di police demsef, na wetin Kazeem papa say im want now.","I want fair and true justice from the federal government and even from the police themself, was what Kazeem father said he wants now."
Foto show England international player Raheem Sterling wit Real Madrid shirt afta dem ask am about im future wit Manchester City.,Photos showed England's international player Raheem Sterling with Real Madrid shirt after he was asked about his future with Manchester City.
"Wen you see di white shirt you go know exactly which club e dey stand for, dem dey very big na wetin Sterling tok.","When you see the white shirt you will know exactly which club it represents, they are very big was what Sterling said."
"City go play Real Madrid for di last 16 of Champions League, di first leg go happun for Spain on Wednesday.","City will play Real Madrid in the last 16 of Champions League, the first leg will happen in Spain on Wednesday."
Di return leg na for Etihad Stadium for Manchester on 17 March.,The return leg is at Etihad Stadium in Manchester on 17 March.
"Dis dey come afta Uefa ban Manchester City wey be di current Premier League Champions, from European football for di next two seasons.","This came after Uefa banned Manchester City who are the current Premier League Champions, from European football for the next two seasons."
Di ban dey start next year - 2021season.,The ban will start next year - 2021 season.
Na because dem find out say dem find out say dem rules wey relate to how much money dem dey allowed to spend.,It is because they found out that the rules is related to how much money they are allowed to spend.
Dat na why tori dey fly upandan weda di City top players go leave.,That is why stories were flying all over whether the City top players will leave.
Im tell Spanish tori pipo AS: Right now I dey City and I dey really happy.,He told Spanish AS reporters: Right now I am in City and I am really happy.
But I go say Real Madrid na  fantastic club.,But I will say Real Madrid is a fantastic club.
"Dem ask am weda im go like play for Real, im tok say: How I go carry answer dis one?","He was sked of he would like to play for Real, he said: How will I answer this?"
Di camera dey live or e just dey take pictures?,The camera was live or it is jut for taking pictures?
Manchester City manager Pep Guardiola say im players dey free to tok as e be.,Manchester City manager Pep Guardiola says his players are free to talk.
We no dey here to tell them wetin dem need to tok .,We aren't here to tell them what to say.
Sterling don score 11 goals dis season.,Sterling has scored 11 goals this season.
Deontay Wilder don blame im big costume wey im wear enta ring for why Tyson Fury defeat am for di WBC heavyweight title.,Deontay Wilder has blamed his big costume which he wore into the ringas the reason Tyson Fury defeated him in the WBC heavyweight title.
"Di American, 34, say im costume heavy so tey legs weak am for di fight.","The American, 34, said his costume was heavy which made his legs become weak during the fight."
Fury from Britain use ogbonge fight to win di title for Las Vegas on Saturday after Wilder pipo ask say make referee end di match for seventh round.,Fury who is from Britain uses fight to win the title in Las Vegas on Saturday after Wilder people asked that the  referee end the match in the seventh round.
Wilder also tell US tori pipo say im go request for rematch to fight Fury for di third time.,Wilder also told US reporters that he would request for a rematch to fight Fury for a third time.
"Fury no wound me at all, but di simple fact be say my uniform too heavy for me, Wilder told Yahoo.","Fury did not wound me at all, but the simple fact is that my uniform was too heavy for me, Wilder told Yahoo."
"Wilder say di costume, wey dem sew plenty tins ontop am, also come wit mask and crown, weigh at least 18.1kg and na tribute to Black History Month.","Wilder said the costume, which has several things sown on it, also come with mask and crown, it weigh at least 18.1kg and it's a tribute to Black History Month."
Fury on di oda hand no use im leg waka enta ring as im sidon ontop throne wey four pipo carri.,Fury on the other hand did not usen his legs to get into the ring as he sat on a throne carried by four people.
"My legs weak me from di from di beginning of di fight - and for di third round, my legs no fit carri me again , tok Wilder.","My legs were weak from the beginning of the fight - and in the third round, my legs were not able to carry me anymore, said Wilder."
I no reason am say e go heavy like that.,I never imagined that it would be as heavy as that.
"Although dem carri Wilder go hospital after di fight, e say im no get concussion, say im ear drum no bust or im jaw break, like di way pipo dey tok.","Although Wilder was carried to the hospital after the fight, he said he has no --, said his ear drums never busted nor his jaw broken, as against what people were saying."
"Former Brazil forward Ronaldinho dey police custody for Paraguay ontop accuse say im use fake passport enta di kontri, according to authorities.","Former Brazil forward Ronaldinho is in police custody in Paraguay as he is being accused of using fake passport to gain entry into the country, according to authorities."
"Police search di hotel for di capital, Asuncion, on Wednesday, wia im dey stay wit im brother.","Police searched the hotel in the capital, Asuncion, on Wednesday, where he stays with his brother."
Paraguay interior minister bin tell ESPN Brazil say dem never arrest di two of dem but dem dey under investigation.,Paraguay interior minister told ESPN Brazil that both of them have not been arrested but they are under investigation.
Minister Euclides Acevedo also confam say di brothers don deny di accuse and dem dey co-operate wit authorities.,Minister Euclides Acevedo also confirmed that the brothers have denied the accusations and they are  co-operating with the authorities.
"For July 2019, di player lose im Brazilian and Spanish passports ontop tax money wey im no pay.","In July 2019, the player lose his Brazilian and Spanish passports due to taxable money he refused to pay."
"Ronaldinho go get chance by 8amt  on Thursday to tok im side of di tori for di prosecutor's office, minister Euclides Acevedo tell AFP.","Ronaldinho will have a chance by 8amt on Thursday to give his narrative of the story in the prosecutor's office, minister Euclides Acevedo told AFP."
E also add say dem go investigate dia own customers authorities join.,He added that they will investigate their customers authorities too.
I respect say im na big man for sports but di law no dey respect pesin.,I respect he is a notable man in sports but the law has no respect for anyone.
"No mata who you be, di law still apply to you, Oga Acevedo tell local tori pipo.","No matter who you are, the law applies to you, Acevedo told local reporters"
Ronaldinho dey Paraguay to promote one book and do campaign for underprivileged pikin dem.,Ronaldinho was in Paraguay to promote a book and campaign for underprivileged children
Di 39-year-old win World Player Of The Year two times (2004 and 2005) and im win di World Cup for 2002 wit fellow superstar strikers Ronaldo and Rivaldo.,The 39-year-old won World Player Of The Year two times (2004 and 2005) and won the World Cup in 2002 with fellow superstar strikers like Ronaldo and Rivaldo.
"One former rugby league player, im wife and dia three children die inside fire for di Australian city of Brisbane.","One former rugby league player, his wife and their three children died in a fire incident in the Australian city of Brisbane."
"Emergency workers find di bodi of Rowan Baxter and im pikin dem, wey dey under age of 10, inside car, police tok.","The police said emergency workers find the body of Rowan Baxter and his children, who were under the age of 10, in a car."
"Hannah Baxter, wey be 31 years, die later for hospital from serious burns all ova her bodi.","Hannah Baxter, who is 31 years, died later at the hospital of serious burns all over her body."
Report bin say she jump comot from car dey shout : E pour me petrol.,Report had it that she jmped out of the car and was shouting: He poured petrol on me
"Dis na horrific scene, Det Insp Mark Thompson tel tori pipo: We still dey investigate di mata, but wen police reach di crime scene di car dey burn.","This is an horrible scene, Det Insp Mark Thompson told reporters: We are still investigating the issue, but when the police got to the crime scene the car was burning"
"Police find Rowan Baxter, 42, and im three pikin - age three, four and six - wey don die inside di car.","Police found Rowan Baxter, 42, and his three children - aged three, four and six - who are dead inside the car."
"Rowan Baxter bin dey for di front passenger seat and Hannah Baxter bin dey drive di car, police tok.",The police said Rowan Baxter was at the front passenger seat and Hannah Baxter was driving the car.
"Pipo wey dey live for di area tell Australian tori pipo say dem see madam Baxter, 31, jump comot from di car wen she dey on fire.","People living in the area told Australian news reporters that they saw madam Baxter, 31, jump out from the car when she was on fire."
"She bin dey critical condition wen dem cari her go Royal Brisbane and Women's Hospital, police tok.",The police said she was in a critical condition when she was carried to Royal Brisbane and Women's Hospital.
But dem confam am say she later die on Wednesday.,But they confirmed that she later died on Wednesday.
"Tori be say di couple bin don separate late last year, and dem dey try to agree on who dia children go dey live with.","Reports had it that the couple separated since late last year, and they are working in agreeing in who the children would live with."
"pair had reportedly separated late last year, and were trying to work out custody arrangements.","pair had reportedly separated late last year, and were trying to work out custody arrangements."
Prime Minister Scott Morrison say im heart dey go out to di families and community wey dey go through dis tragic time and di emergency workers wey dey di horrible scene.,Prime Minister Scott Morrison said his heart goes out to the families and communities going through this tragic time and the emergency workers who are in the horrible scene.
Federal MP Terri Butler say di mata shake am well-well reach bone.,Federal MP Terri Butler said the issue affected him to his bones.
"Tyson Fury and Deontay Wilder go face each oda again for early mor-mor on Sunday, almost 15 months afta dia last fight end for draw for Los Angeles.","Tyson Fury and Deontay Wilder will face eachother again in the early monring Sunday, almost 15 months after their last fight ended in a draw in Los Angeles."
"Tickets for dia Las Vegas fights dey go for thousands of dollars, already di fighters dey badmouth each oda ahead of di fight.","Tickets for their Las Vegas fights sells at thousands of dollars, already the fighters verberlly abuses each other ahead of the fight."
Di big prize na Wilder WBC world title.,The big prize is Wilder WBC world title.
"If Fury win am e mean say all four heavyweight belts go dey shared between two British fighters - him and Anthony Joshua, go hold di IBF, WBA and WBO titles.","If Fury wins that means all four heavyweight belts will be shared between two British fighters - him and Anthony Joshua, will hold the IBF, WBA and WBO titles."
Wilder dey start as favourite according to betting pipo before di fighters go waka enta di ring around 05:00 GMT on Sunday morning.,Wilder is starting as the favourite according to betting folks before the fighters will walk into the ring around 05:00 GMT on Sunday morning.
Dis na everything you need to know about di fight.,This is everything you need to know about the fight.
"Na few tickets remain for di fight wey go happun for MGM Grand Garden Arena, di ticket prize na from $425 (£330) for open market to $10,000 (£7,754) for black market.","Only a few tickets are left for the fight which would happen at MGM Grand Garden Arena, the ticket prize is from $425 (£330) at the open market to $10,000 (£7,754) at the black market."
"For Las Vegas Strip, fans fit pay $100 (£77) to watch di fight for big screen while di fight go cost $74.99 (£58) to buy for house for pipo wey dey live for US, e mean say dem fit raise up to $150m (£116m) even before dem collect ticket money.","At Las Vegas Strip, fans can pay $100 (£77) to watch the fight in a big screen while the fight will cost $74.99 (£58) to buy at home for people living in the US, that means they can raise up to $150m (£116m) even before the collection of the ticket money."
In terms of money for di two men dia money fit reach eight- figure for dat night alone.,In terms of money for the two men their money could be around eight- figure for that night alone.
"Na di biggest heavyweight fight for 20, 30, or even 50 years - dat na if you listen to wetin Fury dey tok.","It is the biggest heavyweight fight in 20, 30, or even 50 years - that is if you listened to what Fury said."
"I don dey here for 25 years and I neva see dis kind investment for pay-per-view fight, na wetin BBC Sport boxing correspondent Mike Costello tok.","I have been here for 25 years and I have never seen this kind of investment for a pay-per-view fight, said BBC Sport boxing correspondent, Mike Costello."
"Im 5 Live Boxing sidekick Steve Bunce add say: Two men wey dey unbeaten, elite versus elite.","His 5 Live Boxing sidekick Steve Bunce added that: Two men who are unbeaten, elite versus elite."
Make wey no forget say we dey see something wey we no dey every day.,We should not forget that we are seeing something that does not exist everyday.
Dis na monster.,This is a monster.
"Some UK betting company dey put Wilder as slight favourite for di sports betting facility for MGM Grand, wia some big spenders fit force di prize to change as di fight dey near.","Some UK betting company placed Wilder as slight favourite in the sports betting facility at MGM Grand, where some big spenders could force the prize to change as the fight draws closer."
Costello add say: I feel say Wilder don learn from im first fight and e go dey better dis time to close di space dem.,Costello added that: I have a feeling that Wilder have learnt from his first fight and he will be better this time to close the spaces.
I know when im go catch Fury but I feel say im go catch am.,I know when he would catch Fury but I feel he would catch him.
Bunce respond: I feel say we go see Wilder box small and Fury go dey more aggressive.,Bunce responded: I feel that we will see Wilder box a little and Fury will be more aggressive.
I no think say dis changes dem go last.,I do not think these changes will last.
I believe say Fury go survive some difficult moment and then win on points.,I believe that Fury will survive some difficult moment and then win on points.
"And yes, e go dey controversial.","And yes, it will be controversial."
Sabi pipo and betting pipo dey divided.,Professional and betting people are divided.
"Dis na di moment we don dey wait for tey-tey, dat na wetin Wilder tok dis week.","This is the moment we have been waiting for a long time ago, that's what Wilder said this week."
Dis na di latest twist for dis rivalry.,This is the latest twist in this rivalry.
At least di waiting dey nearly over.,At least the waiting is nearly over.
"Wilder neva too change, so di result of dis fight go depend on di success of failure of di changes Fury don make.","Wilder has not really change, the result of this fight will depend on the success of failure of the changes Fury has made."
"Outside di gym, im profile for US don rise, wey don also bring new demands.","Outside the gym, his profile in the US has rise, which has also brought in new demands."
"Inside di gym, im get one new trainer.","Inside the gym, he has a new trainer."
"SugarHill Steward, wey be policeman before, dey call imself di knockout architect, afta im learn how to box for di legendary Detroit Kronk Gym.","SugarHill Steward, who was a policeman, called himself the knockout architect, after learning how to box from the legendary Detroit Kronk Gym."
Fury get new cuts man - in case di wound wey need 47 stitches after im September win over Otto Wallin open again - and im also hire di chef wey UFC star Conor McGregor dey use.,Fury has a new cuts man - in case the wound that needed 47 stitches after his September win over Otto Wallin opens again - and he also hired the chef that UFC star Conor McGregor uses.
"Im no dey drink Diet coke, drink wey im like well-well.","He does not drink Diet coke, the drink which he likes very well."
Di most important one of all dem na im promise to move away from im style and any try to knock out deadly puncher.,The most important of it all was his promise to move away from his style and any try to knock out deadly puncher.
"Wetin I do di last time clearly no dey good enough, so we go for di knockout, na wetin Fury tok.","What I did last time clearly was not good enough, so we go for the knockout, was what Fury said."
I feel say Wilder go come out of di gates like horse wey dey run to try to knock me out.,I feel that Wilder will come out of the gates like a horse that is running and trying to knock me out.
"Confederation of African Football, CAF don say deh di watch Cameroon as host for African Football Championship, CHAN as coronavirus don enta big African football kontris.","Confederation of African Football, CAF says it watches Cameroon as the host for African Football Championship, CHAN as coronavirus has entered entered big African football countries."
Cameroon go host CHAN 2020 from 4-25 April and na one of de kontris for announce say two pipo don test positive for coronavirus recently.,Cameroon will host CHAN 2020 from 4-25 April and it is one of the countries to announce that two people have tested positive for coronavirus recently.
CAF komot release on coronavirus say dia team of doctors di check de situation for continent.,CAF removed the release on corona virus which their team of doctors are checking the situation on the continent.
"Eight major football kontris for Africa don already get de virus: Egypt, Algeria, Tunisia, Morocco, Nigeria, Senegal, Cameroon and South Africa.","Eight major football countries in Africa has already gotten the virus: Egypt, Algeria, Tunisia, Morocco, Nigeria, Senegal, Cameroon and South Africa."
Cameroon also apply for host CAF Champions League.,Cameroon also applied as host of the CAF Champions League.
"Just now CAF medical teams di watch, di report for executive committee and if de situation wowo, CAF for decide make de play matches wit no fans, postpone or cancel.","Presently CAF medical teams watched the report for executive committee and if the situation is ugly, CAF could decide that matches should be played with no fans, postpone or cancel."
For now CAF di promote WHO guideline for keep safe from de virus.,For now CAF promotes WHO guideline for keeping safe from the virus.
One player chop five years suspension for France sake of say im bite im opponent penis for fight wey happun afta dia match.,A player was given five years suspension in France beacuse he bites an opponent's penis in a fight that happened after their match.
Di incident happun for France for November 17 for di second division match between Terville and Soetrich.,The incident happened in France for November 17 in the second division match between Terville and Soetrich.
"According to one local news website for Lorraine, kasala burst wen one of di players from each of di team begin fight demself, another Terville player come join, tori be say im try to separate dem.","According to a local news website in Lorraine, there was trouble when one of the players from each of the teams started fighting, another Terville player joined, the report was that he was trying to seperate them."
Na so di Soetrich player respond come bite im penis.,The Soetrich player then responded by biting his penis.
Tori be say di victim need 10 stitches and e gatz take four days off work.,Reports had it that the victims need 10 stitches and he needs to take four days off work.
Di incident happun afta dia match for di stadium car park.,The incident happened after their match in the stadium car park.
"Di fight start small before e worse,'  na wetin Emmanuel Saling of di Mosellan football district tok, 'im blame di two sides'.","The fight started small before it got worse,'  said Emmanuel Saling of the Mosellan football district, 'I will blame the two sides'."
Na wetin im add put.,That's what he added
"Saling say because di 'case dey quite original', di disciplinary committee call expert witness before dem decide to suspend di Soetrich player for five years.","Saling said because the 'case was quite original', the disciplinary committee called expert witness before they decided to suspend the Soetrich player for five years."
While di injured Terville player chop six months suspension.,While the injured Terville player got six months suspension.
Di match end for 1-1 draw wey for be Terville first point of di season.,The match ended in a 1-1 draw which could have been Terville first point of the season. 
Di king don return to di top of di throne' Dis na wetin Tyson Fury tok afta im beat Deontay Wilder hands down to become WBC world heavyweight champion for dia rematch wey happun for Las Vegas.,The king has returned to the top of the throne' This was said by Tyson Fury after he won Deontay Wilder hands down to become WBC world heavyweight champion in their rematch which took place in Las Vegas.
Dis don end Deontay Wilder five-year reign as WBC heavyweight world champion.,This has ended Deontay Wilder five-year reign as WBC heavyweight world champion.
Tyson Fury use heavy punch knock out Deontay Wilder for di seventh round before im corner throw in the towel to beg make di fight stop.,"Tyson Fury uses heavy punch to knock out Deontay Wilder in the seventh round before his corner throw in the towel, begging for the fight to be stopped."
Wilder no dey happy with im corner wey dey pull am comot from di fight.,Wilder was not happy with his corner whom pulled him from the fight.
Di best man na im win dis night.,The best man won this night.
My coach throw in di towel but I dey ready to go out on my shield.,My coach throw in the towel but I was ready to go out on my shield.
"I just wish my corner for let me go out on my shield, I be warrior.","I just wished my corner will let me go out on my shield, I am a warrior."
But Fury do wetin im do and I no get excuses.,But Fury did what he did and I have no excuses.
Deontay Wilder tok.,Deontay Wilder said.
Afta Fury win e come begin dey bounce around with di WBC world heavyweight belt wey dey on top im shoulder.,After Fury wins he started to bounce around with the WBC world heavyweight belt wey dey on top im shoulder.
E give shout out to Deontay Wilder and also call am 'Warrior.,He gave a shout out to Deontay Wilder and also called him 'Warrior'.
"I want to give shout out to Deontay Wilder, e show di heart of a champion.","I want to give shout out to Deontay Wilder, he show the heart of a champion."
E get up and battle onto round seven.,He got up and battled onto round seven
"E be warrior, e go come back and be champion again.","He is a warrior, he will come back and be champion again."
But di king don return to di top of di throne.,But the king has return to the top of the throne.
Fury later tell tori pipo say im dey expect Wilder to ask for di third fight.,Fury later told reporters that he was expecting Wilder to ask for the third fight.
I know e be warrior and I go dey wait for am.,I know he is a warrior and I will be waiting for him.
E add say im career go dey complete if e face Anthony Joshua.,He added that his career will be completed if he faced Anthony Joshua.
Former world heavyweight champion David Haye say Tyson Fury cannot do no wrong.,Former world heavyweight champion David Haye says Tyson Fury can do no wrong.
E dey box out of im skin and I no know say e fit do dis.,He was boxing out of his skin and I do not know he could do this.
I just witness greatness.,I just witnessed greatness.
Haye tell BT Sport Box Office.,Haye told BT Sport Box Office.
"Tyson Fury former trainer Ben Davison, tweet say na good decision Wilder corner take to trow in di towel.","Tyson Fury former trainer Ben Davison, tweeted that Wilder's corner made a good decision by throwing in the towel."
Oda pipo for twitter no fit hide dia surprise and joy.,Other people on twitter can not hide their surprise and joy.
Manchester United new signing Odion Ighalo dey train separate from wia oda players of di club dey train.,Manchester United new signing Odion Ighalo is training separately from where other players of the club are training.
United say na step wey dem take becos of di risk of Coronavirus as Ighalo dey come from China wia di virus don kill more dan 1000 pipo.,United says there were steps they took because of the risk of Coronavirus as Ighalo was coming from China where the virus has killed more than 1000 people.
United bin decide to no carry di striker go dia winter break training camp for Spain becos of concern say im fit experience difficulty to return back to UK.,United has decided not to take the striker to their winter break training camp in Spain because of concern that he could experience difficulty to return back to UK.
"Ighalo, 30, dey expected to travel with di squad for Monday game against Chelsea.","Ighalo, 30, is expected to travel with the squad for the Monday game against Chelsea."
BBC Sport understand say Ighalo don dey train with support from di club as im dey use personalised fitness programme to ready am for di Chelsea Premier League game.,BBC Sport understands that Ighalo has been training with support from the club as he has been using personalised fitness programme to get him ready for the Chelsea Premier League game.
Na for di National Taekwondo Centre wey dey close to Etihad Stadium and wia im don dey stay dem dey use since e land from China 11 days ago.,It is at the National Taekwondo Centre which is close to Etihad Stadium and where he has been staying they have been using since he landed from China 11 days ago.
Ighalo join United on loan for di rest of di season from China Super League club Shanghai Shenhua.,Ighalo joined United on loan for the rest of the season from China Super League club Shanghai Shenhua.
"Di current medical advice na say travellers wey dey come into di UK from specific kontris, including China, dem go quarantine dem for 14 days.","The current medical advice is that travellers going into UK from specific countries, including China, will be quarantined for 14 days."
Nigeria Football Federation don appoint former Super Eagles captain Joseph Yobo as assistant coach of di team.,Nigeria Football Federation has appointed former Super Eagles captain Joseph Yobo as assistant coach of the team.
Yobo wey play for six Nations Cup for Nigeria as defender go replace Imama Amapakabo for Nigeria technical crew.,Yobo who played at six Nations Cup for Nigeria as defender will replace Imama Amapakabo in Nigeria technical crew.
Di defender play for three World Cups for Nigeria and bin be di captain of di Super Eagles wen dem win di 2013 Africa Cup of Nations.,The defender played at three World Cups for Nigeria and was the captain of the Super Eagles when they won the 2013 Africa Cup of Nations.
NFF announce dis appointment for inside statement on Wednesday .,NFF announced this appointment in a statement on Wednesday .
"Yobo wey play 100 matches for Super Eagles also play for Everton, Fenerbahce, Marseille, Standard Liege and Norwich City.","Yobo who played 100 matches for Super Eagles also played for Everton, Fenerbahce, Marseille, Standard Liege and Norwich City."
Turkey club Trabzonspor don condemn racial abuse wey former Nigeria captain John Mikel Obi receive for dia win over Fenerbahce on Saturday.,Turkey club Trabzonspor has condemned racial abuse which former Nigeria captain John Mikel Obi received in their win over Fenerbahce on Saturday.
Fans target Mikel on social media afta 2-1 victory wey move Trabzonspor above dia opponents into third place.,Fans targeted Mikel on social media after the 2-1 victory which moved Trabzonspor above their opponents into third place.
Di club say dem don file criminal complain against pipo wey dey responsible.,The club said they have filed criminal complaint against people who are responsible.
"Racism na shelter for di helpless and ignorant, na so Trabzonsport tok for statement for Twitter.","Racism is a shelter for the helpless and ignorant, was what Trabzonsport said in a statement on Twitter."
Mikel wey also play for Chelsea tok say: We all be one and equal.,Mikel who also played for Chelsea said: We all are one and equal.
"At di end of di day, dis na just game e be.","At the end of the day, this is just a game."
Dis na di biggest tori for English football dis season.,This is the biggest news in the English football this season.
Dem don kick Manchester City comot from Champions League until 2022.,Manchester City have been kicked out from Champions League until 2022.
"City dey vex, dem claim say na di court no follow law to find dem guilty  and dem promise say di fight neva finish.","City is angry, claiming the court never followed the law finding them guilty and they promised the fight has not ended."
"But for now, dem don comot from any European competition and dis dey raise different kain question for di club.","But for now, they have been out of any European competition and this is raising different sorts of question for the club."
"For di last two weeks, City manager Pep Guardiola, don dey ansa plenti questions about im future by saying, im plan to stay till di end of im contract wit di Blues.","In the last two weeks, City manager Pep Guardiola, has been answeing numerous questions about his future by saying, he planed to stay till the end of his contract with the Blues."
Di contract go expire for 2021.,The contract will expire in 2021.
"Also, Guardiola continue to insist say im trust di City management afta dem assure am say UEFA no bin  get any basis for di tins wey dem bin chook eye inside.","Also, Guardiola continued to insist that he trust the City management after he was assured UEFA has no basis for the things it is looking into."
Guardiola feel say dem disappoint am by dis decision?,Guardiola felt he was disappoint by this decision?
E no dey possible to say.,It is not possible to say.
"Bet, e fair to assume say afta im win Premier League titles  back-to-back with ogbonge points for table, plus become di first side to gbab all di three domestic trophies for one single season, Guardiola morale fit dey low.","But, it is fair to assume that after he won the Premier League titles back-to-back with awesome points on the table, in addition to becoming the first side to win all the three domestic trophies in a single season, Guardiola morale could reduce."
"Even if City win di Champions League this season, Guardiola still waka.","Even if City wins the Champions League this season, Guardiola still leaves."
"As e be so, e hard to imagine say im go stay with all di rumours wey dey fly upandan say Juventus want am.","As it is, it is hard to imagine that he will stay with all the rumours flying around that Juventus wants him."
Wetin go determine di future of  Guardiola for Man City na if di club dey succesful for dia appeal against UEFA.,What will determine the future of Guardiola at Man City is if the club is succesful in their appeal against UEFA.
We alreadi know say veteran midfielder David Silva go comot for end of dis season.,We already know that the veteran midfielder David Silva will leave at the end of this season.
